package,embedding,cluster,n,jaccard_mean,jaccard_sd,weighted_stability
Dynamo,umap,1,447,0.586880616338329,0.04386054277397338,0.5621336017777127
Dynamo,umap,2,225,0.5129695328506219,0.039511919767322774,0.5621336017777127
Dynamo,tsne,1,447,0.5442566757892473,0.04688015180123244,0.5227125024032356
Dynamo,tsne,2,225,0.47991141127635917,0.04163771717505983,0.5227125024032356
PEET,pca,0,374,0.2649706239692235,0.02271296078377407,0.2468685332912502
PEET,pca,1,230,0.2621700797309216,0.025800366512414984,0.2468685332912502
PEET,pca,2,68,0.0955518039576256,0.010595481292711024,0.2468685332912502
