particle,class,umap1,umap2,tsne1,tsne2
aligned_tom247_P0005.mrc,1,5.737084,1.172567,1.327310,-3.922931
aligned_tom247_P0006.mrc,1,5.269675,2.519935,-4.705033,5.299522
aligned_tom248_P0001.mrc,1,6.800053,-0.141089,-0.450792,-19.950382
aligned_tom249_P0001.mrc,2,7.671901,5.212974,0.162182,24.953627
aligned_tom249_P0002.mrc,1,7.114170,1.645151,-2.956182,-0.634516
aligned_tom249_P0003.mrc,2,8.339808,4.294495,2.314151,16.368042
aligned_tom249_P0004.mrc,1,8.800611,0.710923,-12.538933,-7.038326
aligned_tom249_P0005.mrc,1,6.093587,2.439222,1.301774,3.517511
aligned_tom24_P0001.mrc,1,5.864957,0.559976,-2.062239,4.143290
aligned_tom250_P0001.mrc,1,8.469601,0.776344,-8.889198,-1.422520
aligned_tom250_P0002.mrc,1,6.498074,0.227266,-6.745237,-11.559483
aligned_tom250_P0003.mrc,2,8.108838,4.318025,-0.375972,15.851233
aligned_tom250_P0004.mrc,1,6.509244,0.617765,0.083342,-8.242488
aligned_tom251_P0001.mrc,1,8.845572,1.608003,-11.993645,1.143534
aligned_tom252_P0001.mrc,1,7.956156,4.126383,0.644440,15.698604
aligned_tom253_P0001.mrc,1,6.995970,-0.427715,4.737531,-8.571245
aligned_tom253_P0002.mrc,2,7.493489,2.930483,-10.205601,5.989579
aligned_tom253_P0003.mrc,2,7.420788,4.301325,-6.033034,20.505224
aligned_tom253_P0004.mrc,1,6.726550,-0.191318,3.669566,-9.115240
aligned_tom253_P0005.mrc,2,7.507332,4.379042,-6.025993,20.523119
aligned_tom254_P0001.mrc,1,6.249263,-0.141982,-6.798653,0.371034
aligned_tom254_P0002.mrc,1,7.202861,0.371759,-3.308212,-7.693028
aligned_tom254_P0003.mrc,1,6.127142,-0.409319,-6.678617,0.259790
aligned_tom255_P0001.mrc,1,6.576791,0.499864,-2.014329,-17.623549
aligned_tom256_P0001.mrc,2,7.078430,4.329356,-3.782715,22.880308
aligned_tom257_P0001.mrc,2,6.514658,4.319271,8.143164,11.679719
aligned_tom257_P0002.mrc,1,5.403430,2.271936,7.199092,0.529239
aligned_tom257_P0003.mrc,2,8.665489,4.733666,5.516396,19.700005
aligned_tom258_P0001.mrc,1,5.428896,-0.111944,-10.682867,-14.311871
aligned_tom258_P0002.mrc,2,5.009086,1.482307,17.084318,4.061470
aligned_tom258_P0003.mrc,2,7.701414,4.453035,-3.033236,17.754726
aligned_tom259_P0001.mrc,1,5.622129,1.743969,5.260018,-5.490567
aligned_tom259_P0002.mrc,2,7.444116,4.665391,-4.699150,17.408829
aligned_tom259_P0003.mrc,2,7.673565,4.240140,0.029531,13.761137
aligned_tom259_P0004.mrc,2,8.560181,4.348232,4.028554,19.196329
aligned_tom25_P0001.mrc,2,6.568367,3.917277,-3.225783,10.611973
aligned_tom25_P0002.mrc,1,8.771693,1.501287,-11.270247,-2.623111
aligned_tom25_P0003.mrc,2,8.321698,1.295373,-17.796307,-7.195044
aligned_tom25_P0004.mrc,1,5.525458,0.569407,13.597039,-2.177311
aligned_tom260_P0001.mrc,2,6.834346,4.431106,-0.835090,26.044754
aligned_tom260_P0002.mrc,1,7.775306,-0.088901,-4.380638,-12.073121
aligned_tom260_P0003.mrc,2,7.014034,3.690991,-12.607025,15.466194
aligned_tom260_P0004.mrc,1,7.877252,1.023518,5.829959,-17.289900
aligned_tom260_P0005.mrc,1,5.790187,2.690402,-0.396367,5.536666
aligned_tom261_P0001.mrc,2,8.588383,4.882410,6.391982,25.339596
aligned_tom261_P0002.mrc,1,8.035374,1.556524,5.806215,1.072409
aligned_tom262_P0001.mrc,1,5.330160,1.936198,11.718069,-17.434698
aligned_tom262_P0002.mrc,1,6.965284,0.617474,-2.023582,-9.677591
aligned_tom263_P0001.mrc,1,8.072675,0.487835,-8.661647,-19.707304
aligned_tom263_P0002.mrc,2,7.204867,4.259620,-6.216089,14.738070
aligned_tom263_P0003.mrc,1,6.228254,1.581549,16.116714,-7.662117
aligned_tom264_P0001.mrc,1,5.786285,0.743387,2.870963,-7.926555
aligned_tom264_P0002.mrc,1,7.199648,-0.389658,-5.675930,-20.026613
aligned_tom265_P0001.mrc,1,6.280624,1.277155,8.195749,-15.542551
aligned_tom265_P0002.mrc,2,7.621603,5.082344,5.377365,16.646868
aligned_tom266_P0001.mrc,2,6.832653,5.009160,4.860611,12.059548
aligned_tom266_P0002.mrc,1,7.728474,0.587023,5.468256,2.521997
aligned_tom267_P0001.mrc,2,5.670547,-0.061572,-6.853036,2.751593
aligned_tom267_P0002.mrc,1,7.761065,0.680594,8.428582,-8.976637
aligned_tom267_P0003.mrc,1,6.526655,0.526268,-0.955782,-13.934086
aligned_tom268_P0001.mrc,1,8.945255,0.993154,-13.688434,-6.598563
aligned_tom268_P0002.mrc,1,5.339532,0.581422,13.532341,-1.964818
aligned_tom268_P0003.mrc,2,8.460513,4.056702,2.227537,19.786980
aligned_tom269_P0001.mrc,2,7.571511,4.502782,-2.240981,17.521812
aligned_tom269_P0002.mrc,2,7.035661,4.801754,-0.281331,25.132113
aligned_tom26_P0001.mrc,2,7.787448,3.367612,-8.176527,16.376863
aligned_tom26_P0002.mrc,1,8.298404,1.980781,-9.365685,-3.189644
aligned_tom26_P0003.mrc,1,8.168056,-0.044489,8.916797,-5.618712
aligned_tom26_P0004.mrc,1,8.112201,1.142118,-6.413790,-9.756286
aligned_tom270_P0001.mrc,2,7.558257,4.796887,1.322626,17.843901
aligned_tom271_P0001.mrc,2,7.486759,5.341029,4.717917,16.057137
aligned_tom271_P0002.mrc,1,7.919296,0.668404,1.225050,-12.980888
aligned_tom271_P0003.mrc,1,8.130437,1.158837,-6.617190,-4.701435
aligned_tom272_P0001.mrc,1,5.479433,-0.273916,-11.679611,-11.107554
aligned_tom272_P0002.mrc,2,7.164565,4.226106,-4.014904,23.784643
aligned_tom273_P0001.mrc,2,8.483727,5.130009,9.212224,20.427382
aligned_tom273_P0002.mrc,1,6.796356,-0.550301,-0.471118,-21.565283
aligned_tom273_P0003.mrc,2,8.180625,4.685719,7.666245,20.209700
aligned_tom274_P0001.mrc,2,7.577518,4.296900,-4.572256,19.638357
aligned_tom274_P0002.mrc,1,5.365530,1.298521,-10.537458,-17.184381
aligned_tom274_P0003.mrc,2,8.846901,4.476420,11.639007,17.795544
aligned_tom274_P0004.mrc,2,7.537536,5.155730,0.043611,21.611254
aligned_tom275_P0001.mrc,2,8.044836,4.938481,7.778177,16.414740
aligned_tom275_P0002.mrc,1,8.567647,1.083355,-11.914639,-4.945373
aligned_tom275_P0003.mrc,1,7.368984,0.687141,1.267515,-15.223899
aligned_tom276_P0001.mrc,2,8.289288,4.456441,1.906644,20.698383
aligned_tom276_P0002.mrc,2,7.927054,4.568683,0.221384,20.393530
aligned_tom277_P0001.mrc,1,7.776691,2.571832,-3.310621,2.246501
aligned_tom277_P0002.mrc,1,5.559046,2.215018,8.302336,0.697869
aligned_tom278_P0001.mrc,1,5.321586,1.521208,6.439669,-2.073137
aligned_tom279_P0001.mrc,1,7.045212,1.283013,-3.026154,-1.330145
aligned_tom27_P0001.mrc,1,6.808581,0.228314,1.191318,-7.165955
aligned_tom27_P0002.mrc,2,7.617899,3.781559,-8.241244,20.470802
aligned_tom27_P0003.mrc,2,6.011985,1.992594,11.256042,4.450391
aligned_tom280_P0001.mrc,1,8.473144,2.772797,14.450100,10.114544
aligned_tom280_P0002.mrc,1,7.039552,0.004866,8.266263,-18.294703
aligned_tom281_P0001.mrc,2,7.789423,5.486265,6.485508,18.095684
aligned_tom281_P0002.mrc,1,5.159019,1.411290,6.330319,-3.210910
aligned_tom281_P0003.mrc,2,5.993894,2.028267,16.443012,-7.237355
aligned_tom282_P0001.mrc,2,7.369505,4.409298,-2.294893,18.027712
aligned_tom282_P0002.mrc,1,6.921859,1.107444,0.422239,-4.013993
aligned_tom283_P0001.mrc,2,6.718607,1.727345,-15.544234,5.604072
aligned_tom283_P0002.mrc,2,7.762978,2.737599,-16.275536,12.103631
aligned_tom283_P0003.mrc,1,7.673385,0.386981,-0.775291,-11.071581
aligned_tom283_P0004.mrc,1,5.370996,1.589917,6.064875,-1.346878
aligned_tom283_P0005.mrc,1,7.692156,0.012813,-4.769403,-10.694720
aligned_tom284_P0001.mrc,1,5.610234,1.071934,3.968970,-2.287580
aligned_tom284_P0002.mrc,1,5.677860,1.133126,-8.593402,-10.676353
aligned_tom285_P0001.mrc,1,6.698076,-0.301746,3.904628,-8.941139
aligned_tom286_P0001.mrc,1,6.845533,0.983006,0.045780,-9.635481
aligned_tom286_P0002.mrc,1,6.669928,1.728847,6.956345,-6.013798
aligned_tom286_P0003.mrc,1,8.165263,0.192935,-6.497006,-7.700658
aligned_tom286_P0004.mrc,2,7.473591,5.202831,4.891652,16.154385
aligned_tom287_P0001.mrc,2,6.439095,0.860982,-17.328156,-11.850603
aligned_tom287_P0002.mrc,1,7.971954,1.997610,-5.042871,-0.841068
aligned_tom287_P0003.mrc,1,7.259266,1.792320,-9.107327,0.822391
aligned_tom287_P0004.mrc,2,8.838412,0.418083,-16.351675,-5.281466
aligned_tom288_P0001.mrc,1,8.004967,3.999747,3.137173,17.527409
aligned_tom288_P0002.mrc,2,6.634110,3.920051,-3.874177,11.693790
aligned_tom288_P0003.mrc,1,6.969994,2.545279,1.868260,0.402065
aligned_tom288_P0004.mrc,1,6.379389,1.277012,11.359067,-3.072363
aligned_tom288_P0005.mrc,1,7.796395,1.393295,-4.197553,-4.464939
aligned_tom289_P0001.mrc,2,7.201243,4.201202,-1.077421,14.296274
aligned_tom289_P0002.mrc,2,8.190979,4.945566,2.016484,21.419668
aligned_tom289_P0003.mrc,2,8.356604,4.824522,8.400444,21.491385
aligned_tom28_P0001.mrc,1,6.677297,2.603661,-0.122889,2.371977
aligned_tom290_P0001.mrc,1,7.384772,3.682714,3.973900,13.379781
aligned_tom290_P0002.mrc,2,7.298311,4.721284,-1.263763,17.752832
aligned_tom290_P0003.mrc,1,6.018828,2.770752,-0.646504,5.673892
aligned_tom290_P0004.mrc,1,9.002488,0.833749,-14.071170,-3.020225
aligned_tom291_P0001.mrc,1,6.826496,0.158508,2.082979,-7.208790
aligned_tom291_P0002.mrc,2,8.731970,1.568312,-12.913340,1.039578
aligned_tom291_P0003.mrc,2,6.712375,0.835538,0.905591,-13.519843
aligned_tom291_P0004.mrc,1,8.155695,1.055312,-8.663912,-4.634724
aligned_tom291_P0005.mrc,2,7.559062,3.226410,7.069363,9.277500
aligned_tom291_P0006.mrc,2,7.096499,5.529130,11.171174,15.829073
aligned_tom291_P0007.mrc,1,5.363862,1.580164,5.477532,-2.512925
aligned_tom292_P0001.mrc,2,7.752701,4.409290,-0.977588,16.060133
aligned_tom292_P0002.mrc,2,6.103582,3.222838,-6.633781,3.212737
aligned_tom292_P0003.mrc,2,7.001340,4.103410,-0.919936,13.997483
aligned_tom292_P0004.mrc,1,8.337379,2.497678,-0.504569,-14.658392
aligned_tom292_P0005.mrc,1,7.066341,1.930430,-1.528419,-2.131096
aligned_tom292_P0006.mrc,2,7.715231,4.400069,-2.217319,17.109211
aligned_tom292_P0007.mrc,1,7.345939,0.714759,-12.668604,-16.602119
aligned_tom292_P0008.mrc,1,8.012958,0.439324,9.434923,-11.757740
aligned_tom293_P0001.mrc,1,6.200384,0.206101,-3.816923,-16.155476
aligned_tom294_P0001.mrc,2,7.989133,4.358171,-3.106487,16.111183
aligned_tom294_P0002.mrc,2,7.441775,4.539825,-2.103002,19.272560
aligned_tom294_P0003.mrc,1,6.063838,1.351668,2.316230,-3.000332
aligned_tom29_P0001.mrc,1,5.103328,1.967944,8.622993,5.564076
aligned_tom2_P0001.mrc,1,7.275642,2.909914,-5.642776,12.160567
aligned_tom2_P0002.mrc,1,7.649024,2.362038,-1.653888,-3.225536
aligned_tom30_P0001.mrc,1,7.690555,0.471267,-2.306535,-15.012266
aligned_tom31_P0001.mrc,1,8.624981,0.201941,-8.556639,-8.595190
aligned_tom32_P0001.mrc,2,8.205540,2.753659,-8.608281,15.140948
aligned_tom33_P0001.mrc,2,8.391815,5.419507,8.075599,23.678026
aligned_tom34_P0001.mrc,2,7.261550,4.084370,7.356227,22.212086
aligned_tom35_P0001.mrc,1,7.548552,1.308620,12.853589,-10.429231
aligned_tom35_P0002.mrc,1,6.006047,0.199798,2.184229,-9.866742
aligned_tom35_P0003.mrc,2,8.681076,5.110813,5.410373,19.349073
aligned_tom36_P0001.mrc,2,7.467738,5.315932,0.342926,21.656384
aligned_tom36_P0002.mrc,1,6.544341,1.629999,11.904204,2.897341
aligned_tom37_P0001.mrc,2,7.278885,4.786640,-2.409731,23.086088
aligned_tom37_P0002.mrc,1,7.946640,2.256592,15.289362,-0.667597
aligned_tom38_P0001.mrc,2,6.864973,4.122574,-1.187789,13.479569
aligned_tom38_P0002.mrc,1,7.829948,-0.288248,-3.840842,-13.728946
aligned_tom38_P0003.mrc,1,5.895728,0.491684,3.905635,-19.907269
aligned_tom39_P0001.mrc,1,6.647037,2.022237,1.658825,-1.511629
aligned_tom3_P0001.mrc,2,7.108872,5.007862,5.817028,13.858176
aligned_tom3_P0002.mrc,2,7.231414,4.150950,-3.506470,18.747173
aligned_tom3_P0003.mrc,1,9.042556,0.985938,-13.900449,-6.754748
aligned_tom3_P0004.mrc,1,7.897214,-0.243062,-12.860612,-9.285337
aligned_tom3_P0005.mrc,1,8.714429,0.956438,-12.599982,-5.111032
aligned_tom40_P0001.mrc,1,7.549036,1.383794,-3.065132,-4.085185
aligned_tom41_P0001.mrc,2,7.780518,2.828530,-16.454479,12.822038
aligned_tom41_P0002.mrc,2,7.819241,2.631732,-12.677889,5.670512
aligned_tom42_P0001.mrc,2,6.823391,3.562988,12.160604,7.625803
aligned_tom43_P0001.mrc,2,7.387250,0.465425,1.271940,-16.169353
aligned_tom43_P0002.mrc,1,7.197869,0.612928,-4.612984,3.701496
aligned_tom43_P0003.mrc,2,8.813975,4.576916,11.532092,17.742647
aligned_tom43_P0004.mrc,2,6.660341,3.859988,-3.681331,12.126111
aligned_tom43_P0005.mrc,1,5.586062,0.960329,10.172547,-1.437325
aligned_tom44_P0001.mrc,2,8.328964,4.813225,5.036938,23.089220
aligned_tom45_P0001.mrc,2,7.640105,4.758329,-0.162087,19.189295
aligned_tom46_P0001.mrc,2,7.097277,4.598519,-3.296255,20.769808
aligned_tom46_P0002.mrc,1,7.391040,0.409599,4.468029,-16.895885
aligned_tom46_P0003.mrc,2,7.783594,5.391178,-1.040736,27.415768
aligned_tom47_P0001.mrc,1,6.016978,-0.144037,-10.126438,-14.587646
aligned_tom47_P0002.mrc,1,7.217068,2.153531,14.880874,-11.870374
aligned_tom47_P0003.mrc,1,5.434095,1.668504,5.422391,-3.399698
aligned_tom47_P0004.mrc,2,7.822450,4.420801,-0.204877,17.396282
aligned_tom47_P0005.mrc,1,5.722262,-0.437075,-7.350980,1.698034
aligned_tom48_P0001.mrc,2,6.652989,4.994236,4.705826,10.947502
aligned_tom48_P0002.mrc,1,7.057452,0.485451,-2.803560,-7.384426
aligned_tom49_P0001.mrc,2,7.087067,3.687464,-11.958523,14.417460
aligned_tom49_P0002.mrc,1,6.970146,3.766543,11.163671,5.323387
aligned_tom4_P0001.mrc,1,7.545429,2.102535,-0.676785,-1.932551
aligned_tom4_P0002.mrc,1,6.432113,0.940830,-1.400232,-7.767414
aligned_tom4_P0003.mrc,2,5.939342,3.878812,12.888062,-0.972202
aligned_tom50_P0001.mrc,1,7.154791,-0.263916,-4.246995,-19.117271
aligned_tom50_P0002.mrc,2,8.435049,4.986226,1.400346,14.246478
aligned_tom51_P0001.mrc,2,7.166937,4.243624,-7.289045,18.331650
aligned_tom51_P0002.mrc,1,8.064442,4.266784,3.320909,21.560616
aligned_tom52_P0001.mrc,1,8.136891,0.085631,-3.889269,-12.137858
aligned_tom52_P0002.mrc,1,8.452157,0.114251,-12.431470,-7.779629
aligned_tom53_P0001.mrc,1,6.016737,1.115055,3.680029,-3.897850
aligned_tom53_P0002.mrc,1,8.834322,1.638616,-12.928468,-0.931010
aligned_tom53_P0003.mrc,1,5.979815,2.246778,1.493933,4.673188
aligned_tom53_P0004.mrc,1,6.060122,1.657081,4.095830,-0.493249
aligned_tom53_P0005.mrc,1,6.387188,2.130254,7.521585,-7.442975
aligned_tom54_P0001.mrc,1,7.951698,1.443624,-3.983777,-5.584900
aligned_tom55_P0001.mrc,1,6.356966,0.354612,1.168254,-8.359096
aligned_tom55_P0002.mrc,2,6.508425,4.164538,8.515723,12.917626
aligned_tom56_P0001.mrc,2,7.049180,5.256867,10.325297,15.443023
aligned_tom57_P0001.mrc,1,7.057771,2.515310,11.040192,9.930711
aligned_tom57_P0002.mrc,2,6.121918,2.538154,2.877261,4.240382
aligned_tom58_P0001.mrc,2,6.977962,4.411543,-4.638460,22.003969
aligned_tom58_P0002.mrc,1,5.650497,0.231536,-6.948764,-11.980449
aligned_tom59_P0001.mrc,1,6.020557,0.978826,6.105510,-4.412852
aligned_tom59_P0002.mrc,1,6.515583,-0.427866,13.346866,-7.996647
aligned_tom5_P0001.mrc,1,7.088149,0.216508,3.242756,-12.141155
aligned_tom60_P0001.mrc,1,8.077055,0.741728,9.648912,-10.212293
aligned_tom61_P0001.mrc,2,8.233438,3.941313,-3.748175,16.142025
aligned_tom62_P0001.mrc,2,6.413857,3.694907,9.551553,7.629520
aligned_tom63_P0001.mrc,1,8.805897,1.931702,-15.824354,1.362530
aligned_tom63_P0002.mrc,2,8.201922,5.310329,2.441795,23.221605
aligned_tom64_P0001.mrc,1,7.287401,0.952142,-3.546305,-1.410930
aligned_tom65_P0001.mrc,1,8.740337,1.593727,-11.464730,-2.403677
aligned_tom66_P0001.mrc,2,8.820627,2.921235,-17.850208,-1.532672
aligned_tom66_P0002.mrc,1,8.689171,3.891816,-12.721330,8.171307
aligned_tom67_P0001.mrc,1,7.948465,1.257370,-4.594244,-3.499008
aligned_tom67_P0002.mrc,2,6.821802,2.960411,-10.927363,14.563791
aligned_tom67_P0003.mrc,1,6.813879,2.433564,1.020726,2.058607
aligned_tom67_P0004.mrc,1,6.047266,2.474141,1.313150,4.602136
aligned_tom67_P0005.mrc,2,7.402502,3.861717,-12.540979,12.237433
aligned_tom68_P0001.mrc,2,7.328109,4.613739,-0.579593,18.310448
aligned_tom68_P0002.mrc,2,8.201148,2.635257,-13.044308,11.591255
aligned_tom69_P0001.mrc,2,7.746448,4.822235,1.600749,16.579414
aligned_tom69_P0002.mrc,1,6.339374,3.421529,2.789548,8.604077
aligned_tom69_P0003.mrc,2,6.022364,2.010921,16.248770,-3.859865
aligned_tom69_P0004.mrc,1,8.389640,1.054790,9.988857,-10.979695
aligned_tom6_P0001.mrc,2,5.138485,0.133739,-5.647948,8.815905
aligned_tom6_P0002.mrc,1,6.527224,0.281043,-2.158896,-17.539497
aligned_tom6_P0003.mrc,1,7.699933,2.245155,-7.684577,-5.905474
aligned_tom70_P0001.mrc,2,8.093250,4.945384,7.483537,15.352348
aligned_tom70_P0002.mrc,2,8.257672,5.250916,6.904465,21.335119
aligned_tom70_P0003.mrc,1,5.863903,1.000990,2.488118,-4.111427
aligned_tom70_P0004.mrc,1,7.582832,1.168645,-2.704935,-5.196174
aligned_tom70_P0005.mrc,1,8.458846,0.233568,-7.842300,-7.276267
aligned_tom71_P0001.mrc,2,7.646260,4.753743,0.001230,19.300890
aligned_tom71_P0002.mrc,2,8.740892,0.168658,-16.003426,-4.193081
aligned_tom71_P0003.mrc,2,7.230299,4.164458,-0.567877,14.657376
aligned_tom71_P0004.mrc,1,7.279267,-0.299421,-6.279291,-19.451117
aligned_tom72_P0001.mrc,1,6.478419,2.088329,-1.216295,1.197587
aligned_tom73_P0001.mrc,2,7.761494,3.524783,-7.557930,15.995338
aligned_tom73_P0002.mrc,1,6.010431,3.178257,2.904615,6.763784
aligned_tom74_P0001.mrc,2,6.753640,5.101025,4.104463,11.481057
aligned_tom74_P0002.mrc,1,8.357240,4.072340,1.659475,18.891970
aligned_tom75_P0001.mrc,1,6.285804,3.146928,3.525100,6.165855
aligned_tom75_P0002.mrc,2,6.033025,4.425858,4.860208,8.871434
aligned_tom75_P0003.mrc,1,6.129930,2.004859,14.685030,2.656382
aligned_tom76_P0001.mrc,1,8.415195,1.373943,7.707140,-4.539493
aligned_tom76_P0002.mrc,1,7.237707,0.560411,-4.782320,3.359518
aligned_tom77_P0001.mrc,1,7.258027,1.169095,3.371101,-15.533361
aligned_tom78_P0001.mrc,2,6.954969,5.360432,11.276278,14.444366
aligned_tom79_P0001.mrc,2,7.334002,3.437139,1.053236,9.709959
aligned_tom7_P0001.mrc,2,7.818220,4.485127,1.182796,16.287806
aligned_tom80_P0001.mrc,1,6.610948,0.769873,10.581788,-2.418326
aligned_tom80_P0002.mrc,1,5.396465,-0.148837,-12.357916,-12.047431
aligned_tom80_P0003.mrc,1,8.197587,0.549374,-7.354832,-10.159653
aligned_tom81_P0001.mrc,1,8.918431,1.352024,-11.696025,1.039616
aligned_tom81_P0002.mrc,1,5.236660,0.251902,-8.031922,-13.045413
aligned_tom81_P0003.mrc,2,6.754845,5.172993,2.732193,12.343873
aligned_tom82_P0001.mrc,2,8.466136,5.254404,6.572626,21.808533
aligned_tom82_P0002.mrc,2,7.540058,5.342422,10.433748,21.613548
aligned_tom82_P0003.mrc,1,5.589225,2.996543,-1.989142,6.539241
aligned_tom82_P0004.mrc,2,8.261741,5.211275,0.976171,14.090705
aligned_tom83_P0001.mrc,1,5.897105,1.554077,3.905871,-6.973340
aligned_tom84_P0001.mrc,1,5.795517,3.275836,-3.847805,6.450504
aligned_tom84_P0002.mrc,1,7.418379,0.962148,3.918872,-13.595823
aligned_tom85_P0001.mrc,1,7.485928,1.135994,-2.634663,-4.660358
aligned_tom85_P0002.mrc,2,8.766108,5.064899,6.423113,25.476273
aligned_tom85_P0003.mrc,2,8.182652,1.727018,-5.849909,-3.432590
aligned_tom85_P0004.mrc,1,5.757267,1.831898,5.334301,-0.072301
aligned_tom86_P0001.mrc,1,7.010558,0.109279,-1.645396,-11.480975
aligned_tom86_P0002.mrc,1,7.285410,1.767817,-5.200861,1.294247
aligned_tom86_P0003.mrc,1,7.767745,0.772598,5.524360,-17.090693
aligned_tom86_P0004.mrc,1,6.481513,0.329733,6.179298,-19.921505
aligned_tom86_P0005.mrc,1,5.409904,2.394144,6.743764,6.943353
aligned_tom86_P0006.mrc,2,6.324633,4.639983,4.399553,9.576028
aligned_tom87_P0001.mrc,1,6.173300,1.211711,9.773745,-4.226733
aligned_tom87_P0002.mrc,1,6.567737,1.227599,8.447558,-15.733011
aligned_tom88_P0001.mrc,1,6.103358,0.909356,11.147824,-5.760107
aligned_tom89_P0001.mrc,1,7.157198,2.658171,-8.508051,8.939138
aligned_tom89_P0002.mrc,1,5.185433,0.693410,-6.562954,-16.044964
aligned_tom8_P0001.mrc,2,8.205581,4.674916,4.557001,21.567797
aligned_tom90_P0001.mrc,1,6.531217,1.480651,6.489699,-12.489186
aligned_tom91_P0001.mrc,1,7.531489,0.308787,-3.533499,-2.743518
aligned_tom92_P0001.mrc,1,4.787353,1.456576,6.742261,4.819766
aligned_tom93_P0001.mrc,1,8.123027,1.840306,-3.925395,-11.028307
aligned_tom93_P0002.mrc,1,7.596843,2.359117,-1.529032,-3.878945
aligned_tom93_P0003.mrc,2,8.712953,0.260910,-15.150059,-8.678166
aligned_tom94_P0001.mrc,1,8.612820,1.417341,-0.243220,-6.054880
aligned_tom94_P0002.mrc,1,6.757716,-0.106952,-0.520156,-19.675865
aligned_tom94_P0003.mrc,1,6.601130,2.167037,2.308318,-0.754635
aligned_tom95_P0001.mrc,2,7.889555,5.074638,6.953297,20.066460
aligned_tom95_P0002.mrc,1,8.008861,1.572972,0.657044,0.799442
aligned_tom96_P0001.mrc,1,8.388940,2.058153,-13.801598,3.687611
aligned_tom97_P0001.mrc,2,6.372823,4.155541,8.707886,12.875866
aligned_tom97_P0002.mrc,1,5.782392,1.402504,-10.690476,-18.488640
aligned_tom97_P0003.mrc,1,7.517636,2.891969,-10.174512,5.258546
aligned_tom98_P0001.mrc,2,8.146379,3.977719,-4.660615,15.509666
aligned_tom98_P0002.mrc,1,8.628006,3.693902,-10.364589,9.944480
aligned_tom98_P0003.mrc,2,5.558547,2.076260,14.986642,6.359762
aligned_tom99_P0001.mrc,1,6.939019,1.960858,14.794433,-13.326457
aligned_tom9_P0001.mrc,1,9.157580,1.110179,-14.701474,-1.720815
