particle,class,umap1,umap2,tsne1,tsne2
aligned_tom138_P0004.mrc,1,5.453196,1.337931,6.894960,-2.091118
aligned_tom139_P0001.mrc,1,5.231901,1.970957,7.948525,3.069693
aligned_tom139_P0002.mrc,1,5.294038,0.129488,-9.305057,-13.360313
aligned_tom139_P0003.mrc,1,6.862019,2.555015,1.440157,1.700605
aligned_tom13_P0001.mrc,1,6.577463,1.863639,-2.121134,0.104637
aligned_tom13_P0002.mrc,1,6.478076,0.784988,5.203489,-12.106256
aligned_tom140_P0001.mrc,2,7.034593,5.469057,11.303142,14.683347
aligned_tom140_P0002.mrc,1,7.175587,2.208637,-4.499466,0.445939
aligned_tom141_P0001.mrc,1,7.975840,1.507132,-4.399890,-5.107887
aligned_tom141_P0002.mrc,2,8.521174,4.273616,3.910793,27.866980
aligned_tom141_P0003.mrc,1,8.425250,-0.031797,-7.914404,-8.121248
aligned_tom142_P0001.mrc,1,5.941591,0.171414,-8.019201,-15.929055
aligned_tom143_P0001.mrc,1,6.300903,0.647736,1.369859,-9.152390
aligned_tom144_P0001.mrc,1,5.971295,3.384301,-2.438202,8.060117
aligned_tom145_P0001.mrc,1,7.253002,2.570323,-1.246990,-3.886218
aligned_tom146_P0001.mrc,2,6.480224,4.258648,8.412333,11.219313
aligned_tom146_P0002.mrc,2,8.400280,5.181969,5.621142,20.506529
aligned_tom146_P0003.mrc,1,5.745546,2.790019,1.093122,6.661652
aligned_tom147_P0001.mrc,1,5.488345,1.160983,4.516610,-1.597374
aligned_tom148_P0001.mrc,1,5.212650,1.148889,-5.425336,-16.483564
aligned_tom149_P0001.mrc,1,6.604488,2.811270,3.437150,3.201927
aligned_tom149_P0002.mrc,1,7.970485,0.310619,-10.540354,-7.359531
aligned_tom14_P0001.mrc,1,8.537237,0.560452,-10.308358,-5.415803
aligned_tom14_P0002.mrc,1,8.235588,0.312151,-10.846907,-7.497317
aligned_tom14_P0003.mrc,1,5.422441,0.729670,9.812018,-1.302578
aligned_tom150_P0001.mrc,1,7.699333,2.207133,5.584244,-7.622933
aligned_tom151_P0001.mrc,1,7.469391,1.687271,7.159005,-11.108779
aligned_tom151_P0002.mrc,2,8.669818,4.427657,4.042075,20.335262
aligned_tom151_P0003.mrc,1,5.339227,-0.023109,-10.680448,-12.213483
aligned_tom151_P0004.mrc,2,7.779876,4.728926,-6.932443,23.902617
aligned_tom152_P0001.mrc,2,7.190620,4.957048,3.495433,15.353478
aligned_tom153_P0001.mrc,2,8.422781,0.424521,-16.137278,-6.098525
aligned_tom153_P0002.mrc,1,5.729836,2.864178,0.727955,6.476863
aligned_tom154_P0001.mrc,1,6.967784,1.872245,-0.030259,-2.224647
aligned_tom154_P0002.mrc,1,5.771863,3.230103,-4.161242,7.573198
aligned_tom155_P0001.mrc,1,7.321294,-0.182795,-4.752727,-8.324210
aligned_tom155_P0002.mrc,1,8.264837,1.654431,-5.837526,-2.049402
aligned_tom155_P0003.mrc,1,7.102451,0.050968,-0.488215,-12.078826
aligned_tom155_P0004.mrc,1,5.449381,2.273319,8.626208,1.020993
aligned_tom156_P0001.mrc,1,5.174193,2.037313,7.948524,3.069693
aligned_tom156_P0002.mrc,1,5.281224,0.101888,-9.304935,-13.360220
aligned_tom156_P0003.mrc,1,6.828271,2.375471,1.440092,1.700898
aligned_tom157_P0001.mrc,2,6.648200,5.145265,2.899823,10.760070
aligned_tom157_P0002.mrc,1,6.487181,-0.361589,13.444790,-7.985943
aligned_tom158_P0001.mrc,1,6.763636,2.408551,-0.248035,3.624161
aligned_tom159_P0001.mrc,2,8.166383,4.818882,6.715796,16.134052
aligned_tom159_P0002.mrc,1,8.265579,3.960733,1.361142,19.760019
aligned_tom159_P0003.mrc,1,6.438532,3.319888,6.788298,7.107697
aligned_tom15_P0001.mrc,1,8.912377,0.925859,-12.050826,-3.737340
aligned_tom15_P0002.mrc,1,5.910080,0.619327,-12.038414,-16.549599
aligned_tom15_P0003.mrc,2,6.830662,4.565968,2.742276,12.829392
aligned_tom160_P0001.mrc,1,6.243395,2.925022,3.599106,3.573735
aligned_tom161_P0001.mrc,1,6.634623,2.122598,1.941025,-1.106616
aligned_tom162_P0001.mrc,1,5.730848,1.699930,4.294899,-4.055603
aligned_tom163_P0001.mrc,1,5.631995,3.336043,-1.763891,7.733633
aligned_tom164_P0001.mrc,1,7.986844,1.372159,-4.399898,-5.107948
aligned_tom164_P0002.mrc,2,8.457474,4.260372,3.910792,27.866594
aligned_tom164_P0003.mrc,1,8.523885,0.002968,-7.914228,-8.120826
aligned_tom165_P0001.mrc,2,7.704422,5.341333,-0.304373,22.473249
aligned_tom166_P0001.mrc,1,7.020498,2.083990,-0.030072,-2.224530
aligned_tom166_P0002.mrc,1,5.684050,3.244123,-4.161237,7.573513
aligned_tom167_P0001.mrc,1,6.150177,1.423968,-18.619284,3.368697
aligned_tom168_P0001.mrc,1,5.507686,0.133891,-8.510565,-14.627522
aligned_tom169_P0001.mrc,1,5.117486,2.111576,7.790849,2.018625
aligned_tom16_P0001.mrc,1,6.035110,2.973855,2.077846,7.056085
aligned_tom16_P0002.mrc,1,7.610190,0.921952,3.334927,-13.851953
aligned_tom170_P0001.mrc,1,6.625988,1.300608,0.443708,-3.804782
aligned_tom171_P0001.mrc,2,8.340336,2.332218,-13.900338,10.544596
aligned_tom172_P0001.mrc,1,6.275350,2.583314,-1.405708,3.179713
aligned_tom172_P0002.mrc,2,6.189877,1.941483,16.433121,-3.966141
aligned_tom173_P0001.mrc,1,5.673793,3.077203,-1.396586,6.579814
aligned_tom173_P0002.mrc,1,5.815288,2.559800,-1.382679,6.246926
aligned_tom174_P0001.mrc,1,5.628348,-0.348416,-11.030949,-11.571677
aligned_tom175_P0001.mrc,1,8.658678,0.766248,-14.461905,-10.484433
aligned_tom175_P0002.mrc,1,7.584668,0.383551,1.050405,-17.133926
aligned_tom176_P0001.mrc,1,7.476604,0.273186,-3.211078,-2.593497
aligned_tom177_P0001.mrc,1,6.282457,0.527150,5.116947,-21.739111
aligned_tom177_P0002.mrc,2,6.339685,4.612363,6.530031,11.074243
aligned_tom177_P0003.mrc,1,7.108502,2.014624,8.426133,-13.290415
aligned_tom178_P0001.mrc,1,8.555710,1.698816,-11.001442,-1.719522
aligned_tom179_P0001.mrc,1,7.038812,1.113389,-0.383751,-7.101628
aligned_tom17_P0001.mrc,1,8.901895,2.008842,-15.380016,1.530425
aligned_tom17_P0002.mrc,2,7.219138,4.220899,-5.951403,14.258463
aligned_tom17_P0003.mrc,1,8.720854,1.993564,-12.109357,2.729770
aligned_tom180_P0001.mrc,1,7.146984,1.133749,3.524357,-10.297237
aligned_tom180_P0002.mrc,1,8.066285,1.764620,-5.119092,-4.578940
aligned_tom181_P0001.mrc,1,6.094694,1.885312,11.155564,-0.380074
aligned_tom181_P0002.mrc,1,8.063116,2.035100,-8.042336,-3.378919
aligned_tom182_P0001.mrc,1,7.781932,1.462009,-2.489210,-6.312113
aligned_tom183_P0001.mrc,1,5.219774,1.963827,12.023490,-17.993359
aligned_tom184_P0001.mrc,2,8.485237,2.471836,-16.250229,7.995971
aligned_tom185_P0001.mrc,1,8.789312,1.108138,-11.262587,-3.822531
aligned_tom186_P0001.mrc,1,5.237558,0.144911,-9.690466,-13.199937
aligned_tom187_P0001.mrc,2,6.583508,4.464499,-1.066558,26.990982
aligned_tom188_P0001.mrc,1,6.164368,2.256133,3.048118,2.549716
aligned_tom189_P0001.mrc,1,8.036107,3.693913,-10.938396,18.677324
aligned_tom18_P0001.mrc,1,6.005459,0.207044,-3.231143,-20.936813
aligned_tom18_P0002.mrc,2,7.173114,3.774440,-10.293267,22.074303
aligned_tom190_P0001.mrc,2,7.770326,3.442639,-8.753919,16.668570
aligned_tom190_P0002.mrc,2,5.948177,1.540022,-17.257771,-12.023016
aligned_tom191_P0001.mrc,1,8.940424,2.036749,-15.012909,1.682474
aligned_tom192_P0001.mrc,2,8.442311,4.257627,3.270486,20.835207
aligned_tom193_P0001.mrc,1,6.570144,3.720392,-2.883689,9.926732
aligned_tom194_P0001.mrc,1,8.314002,-0.240654,-7.106686,-8.586643
aligned_tom195_P0001.mrc,1,5.778515,2.897282,-3.861614,5.081871
aligned_tom196_P0001.mrc,1,6.245473,0.372260,4.921521,-21.406670
aligned_tom197_P0001.mrc,1,8.350958,3.142453,-7.819939,11.686761
aligned_tom198_P0001.mrc,1,5.107023,1.581099,7.303301,-1.426847
aligned_tom199_P0001.mrc,1,6.168307,1.985550,14.357906,2.478879
aligned_tom19_P0001.mrc,2,6.665268,0.395012,-6.746487,10.236221
aligned_tom1_P0001.mrc,2,7.199960,4.154075,2.503937,15.304160
aligned_tom200_P0001.mrc,1,7.474223,1.548143,1.640372,-5.800858
