#Spatial Freq (1/A); FSC
0.000938	0.98602
0.001876	0.87108
0.002814	0.55768
0.003752	0.32193
0.004689	0.38463
0.005627	0.31337
0.006565	0.36743
0.007503	0.27508
0.008441	0.32439
0.009379	0.27959
0.010317	0.25963
0.011255	0.22042
0.012192	0.08829
0.013130	0.04513
0.014068	0.02233
0.015006	-0.01578
0.015944	-0.03299
0.016882	0.06036
0.017820	0.05600
0.018758	0.06839
0.019695	0.01110
0.020633	0.00824
0.021571	0.00121
0.022509	0.03633
0.023447	0.05093
0.024385	0.04560
0.025323	0.04246
0.026261	0.03536
0.027198	-0.02754
0.028136	-0.00343
0.029074	0.01772
0.030012	0.00897
0.030950	0.00776
0.031888	0.00730
0.032826	0.01247
0.033764	-0.00958
0.034701	-0.00339
0.035639	-0.01067
0.036577	-0.01524
0.037515	-0.02101
