#Spatial Freq (1/A); FSC
0.000938	0.79388
0.001876	0.67366
0.002814	0.43904
0.003752	0.36140
0.004689	0.43372
0.005627	0.21918
0.006565	0.14032
0.007503	0.30939
0.008441	0.14677
0.009379	0.16303
0.010317	0.14207
0.011255	0.07897
0.012192	0.05029
0.013130	0.06557
0.014068	0.04138
0.015006	0.02806
0.015944	0.02896
0.016882	0.05720
0.017820	-0.00609
0.018758	0.02032
0.019695	0.02632
0.020633	0.01822
0.021571	0.02862
0.022509	0.02602
0.023447	-0.00636
0.024385	-0.00823
0.025323	0.01033
0.026261	0.04510
0.027198	0.04522
0.028136	0.00678
0.029074	0.01558
0.030012	0.03221
0.030950	0.03531
0.031888	0.02571
0.032826	0.02762
0.033764	0.03149
0.034701	0.03833
0.035639	0.04651
0.036577	0.04709
0.037515	0.04829
