#Spatial Freq (1/A); FSC
0.000938	0.96747
0.001876	0.82072
0.002814	0.55226
0.003752	0.31050
0.004689	0.46384
0.005627	0.45355
0.006565	0.39257
0.007503	0.29146
0.008441	0.32831
0.009379	0.22099
0.010317	0.27479
0.011255	0.21770
0.012192	0.10201
0.013130	0.08359
0.014068	0.07177
0.015006	-0.00276
0.015944	0.01827
0.016882	0.10299
0.017820	0.08104
0.018758	0.07475
0.019695	0.00961
0.020633	0.00842
0.021571	0.02891
0.022509	0.07478
0.023447	0.05265
0.024385	0.00577
0.025323	0.02505
0.026261	0.01267
0.027198	-0.01755
0.028136	-0.01589
0.029074	-0.00142
0.030012	0.01741
0.030950	0.01042
0.031888	0.01836
0.032826	0.00549
0.033764	-0.01387
0.034701	-0.00149
0.035639	-0.01417
0.036577	-0.01715
0.037515	-0.02384
