0.26016,-0.051868,0.080103,0.11301,0.1307,-0.037179,-0.13617,-0.090988,-0.078432,-0.1179
0.12391,-0.089484,-0.16206,-0.089901,-0.071826,0.11052,-0.047489,-0.012329,0.041163,0.056784
0.16581,0.051515,0.070945,0.083428,0.012831,0.0073877,-0.079184,-0.16917,0.026153,-0.0016184
0.23923,-0.070447,-0.016362,0.011063,0.024323,0.044138,-0.027875,-0.045792,0.0050966,-0.027351
0.23342,-0.0033622,-0.0068707,0.069066,0.018235,0.034042,0.033029,-0.072689,0.01053,-0.067471
0.28266,0.096931,0.031249,0.024101,-0.0039489,0.10932,-0.074571,-0.1631,0.013278,-0.047545
0.1795,0.021974,-0.010004,0.051759,0.082634,0.031865,-0.074506,-0.042949,-0.056925,-0.068822
0.26616,-0.09298,-0.045047,0.0025124,0.076483,0.016711,0.11738,-0.066132,0.12887,0.012614
0.24585,0.14951,-0.035934,0.098113,-0.016341,0.069796,-0.033266,-0.15902,0.022585,0.056644
0.1531,-0.019328,-0.052028,-0.034156,-0.035489,0.074941,-0.0026001,-0.12162,0.060305,0.1198
0.29388,-0.0086583,0.12739,0.16794,0.077554,0.052848,-0.15612,-0.15953,0.064028,-0.036537
0.18535,-0.035688,0.013829,0.054528,0.0059562,0.050958,-0.045634,-0.067969,0.009596,0.0029897
0.11359,0.13535,-0.017649,0.062968,0.094616,-0.11713,-0.062081,-0.080724,-0.00020518,-0.08836
0.13665,-0.0085235,-0.03472,0.058736,-0.011033,0.013835,-0.060616,-0.038254,-0.059014,-0.0059849
0.18778,0.14859,0.048474,0.16758,0.087585,-0.040312,-0.050359,-0.079578,0.0089304,-0.067699
0.22902,0.032424,0.038566,0.041528,0.0058268,0.029944,0.0042338,-0.10237,0.041229,0.00061467
0.21161,0.01384,0.081503,0.078889,0.0038055,0.077898,-0.019316,-0.16065,0.078397,-0.038601
0.12531,-0.026557,0.017518,0.0773,0.10577,-0.079804,-0.043243,-0.023724,-0.011078,-0.10582
0.15706,-0.014896,-0.043887,-0.079583,-0.091272,0.10795,-0.017195,-0.066074,0.072581,0.041538
0.25907,-0.0096083,-0.031236,0.026592,0.075061,0.038948,-0.034366,-0.10093,0.070858,-0.011743
0.22583,-0.061437,-0.062721,0.04107,-0.050767,0.15435,-0.0049193,-0.14082,-0.034145,-0.067669
0.2659,-0.0078102,0.058048,0.097165,0.042611,0.079593,-0.054947,-0.10638,0.056307,0.040059
0.22106,-0.12587,0.0063078,0.0013725,-0.047349,0.14228,-0.032277,-0.10935,0.15228,0.053647
0.082161,-0.0095417,0.0044548,0.037948,-0.051868,0.032173,-0.10776,-0.098762,0.092367,0.012187
0.20567,-0.056976,-0.048596,0.048708,0.022486,0.026907,-0.0154,-0.0031653,0.041533,-0.036726
0.2365,-0.030324,0.044588,0.099721,0.096378,0.028699,-0.089817,-0.091824,0.023151,-0.038627
0.25333,0.040998,0.02572,-0.024208,0.043817,0.0019318,-0.051241,-0.21144,0.083642,-0.0057811
0.22162,0.056125,0.0041425,-0.065824,-0.089188,0.13653,0.020388,-0.12346,-0.0050504,0.088941
0.10896,-0.15676,0.069818,-0.06031,0.085723,0.0046293,0.034558,-0.041431,0.11087,-0.038403
0.080983,0.0024319,-0.14446,-0.02862,-0.15133,0.12077,0.065919,-0.12304,0.10804,0.091154
0.11501,0.023505,0.023811,0.059104,0.020918,-0.040003,0.029815,-0.016697,-0.0075938,0.013156
0.17287,0.029265,-0.034071,0.070208,0.0032274,0.029702,-0.074202,-0.11106,0.0089588,0.012814
0.33911,0.072402,-0.020524,0.14379,0.12096,-0.037289,-0.1042,-0.12339,-0.04831,-0.04945
0.1578,-0.037804,-0.099391,0.054126,-0.061635,0.13751,-0.1569,0.030657,0.045693,0.03571
0.20962,0.060886,-0.064862,0.18882,0.040981,0.077731,-0.21238,-0.22069,-0.008762,-0.0068969
0.24507,0.11233,0.028941,0.14494,0.059564,-0.0072702,-0.016443,-0.12769,-0.021485,0.029379
0.23489,0.077986,0.055097,0.098815,0.04438,0.015414,-0.041629,-0.1327,0.012275,-0.073186
0.29113,0.19941,-0.026627,0.02391,0.015161,0.043284,-0.057471,-0.13025,-0.047159,-0.022068
0.18461,0.030752,0.034527,0.0062083,0.043286,0.017279,-0.010832,-0.062719,0.0060116,-0.015711
0.23129,0.03539,-0.089455,0.13433,-0.021524,0.10214,-0.15486,-0.15437,0.099887,-0.049921
0.22943,0.055284,0.091944,0.11324,0.018679,0.065426,-0.037865,-0.17396,0.0070958,0.031093
0.12409,0.094067,0.076748,0.04623,-0.028367,0.055006,-0.0058529,-0.10786,0.062924,0.022899
0.24507,-0.062063,-0.039246,0.07901,0.0079693,0.049192,0.0093369,-0.091908,0.11365,-0.029481
0.23086,0.028023,-0.11666,-0.0023696,-0.041058,0.052851,-0.009662,-0.11617,0.025185,-0.024639
0.16474,0.091623,-0.085693,0.0086766,0.014383,-0.011661,-0.061172,-0.2402,-0.08121,-0.028645
0.28519,0.0034623,-0.031136,-0.017243,-0.00091264,0.062409,0.029415,-0.1588,0.01812,0.06569
0.086603,0.027017,-0.061614,-0.033372,-0.067835,0.12089,-0.010539,-0.1688,-0.015812,-0.0014439
0.26668,0.076897,0.12522,0.075558,0.097146,-0.03771,-0.16012,-0.066764,-0.028198,0.0083495
0.25567,0.056561,0.010537,0.055535,0.0010878,0.12142,-0.033938,-0.1763,0.012638,0.068177
0.25445,-0.038372,0.10973,0.13701,0.065817,0.017175,-0.037257,-0.13603,0.083883,-0.071099
0.24724,0.065814,0.094959,0.11751,0.089565,-0.082032,-0.069931,-0.15377,-0.0079112,-0.021242
0.22774,-0.049383,0.017364,-0.011779,-0.06841,0.11805,0.1602,-0.074435,0.1278,0.030912
0.18472,-0.049894,-0.084594,0.057224,0.055785,0.0062384,-0.032017,-0.20982,0.024975,-0.090047
0.14593,-0.025628,0.028553,0.022882,0.049445,-0.057995,-0.062343,-0.10196,-0.00903,-0.073849
0.29719,-0.035966,0.0057065,0.1059,0.078046,0.02684,-0.1643,-0.22651,-0.0022575,-0.049612
0.29287,0.011473,0.0055112,0.027647,-0.032127,0.044778,-0.033127,-0.19733,0.11741,0.033315
0.28768,-0.0067253,-0.059972,0.0020586,0.036299,0.074908,-0.024674,-0.11613,0.013498,-0.064841
0.21421,0.078294,0.19218,0.040724,0.099328,-0.099755,-0.11668,-0.18167,0.064977,-0.10711
0.21803,0.0084191,0.057,0.10912,0.069491,-0.0086047,-0.046537,-0.20428,0.010246,-0.055544
0.32293,0.14911,0.025072,-0.0017343,-0.12934,0.12785,-0.03936,-0.20368,0.092857,0.099159
0.22441,-0.050638,0.032985,0.020201,0.01211,0.09733,-0.085212,-0.11153,0.034988,-0.0064966
0.22009,0.032287,0.039516,-0.032425,-0.095471,0.083097,0.0066981,-0.14772,0.11028,0.055418
0.19871,-0.02561,0.045244,0.050711,0.067544,-0.024918,-0.059099,-0.096538,-0.0051128,-0.0047615
0.27005,-0.12741,-0.092527,-0.032504,-0.091163,0.21152,-0.0082152,-0.062981,0.027839,0.032322
0.20292,0.059533,0.1036,0.10806,0.14342,-0.084293,-0.1502,-0.093793,-0.053562,-0.08831
0.19311,0.018111,-0.018094,0.076109,0.089238,0.00018049,-0.072993,-0.15431,0.067052,-0.056736
0.20231,-0.0023764,-0.017417,0.068523,-0.002179,0.08402,0.042867,-0.084712,-0.0019597,0.052656
0.28557,0.069461,0.053967,0.082994,-0.025734,0.069184,-0.11546,-0.15778,0.0021923,-0.019078
0.1411,0.039765,-0.008749,0.08326,0.086946,-0.026287,-0.0029358,-0.067449,-0.078669,-0.018908
0.2444,0.038219,0.049531,0.11012,-0.0083696,0.0096657,-0.11349,-0.13643,0.0098865,0.02976
0.15938,-0.090797,-0.14197,-0.051829,0.059563,-0.0052574,0.018476,0.016946,-0.0001954,-0.11107
0.21122,0.067541,-0.068003,-0.031674,-0.027946,0.051964,0.030634,-0.13772,0.053947,-0.0040823
0.24754,-0.095433,-0.060317,0.071858,0.087803,0.035768,0.055008,-0.014549,-0.046702,0.0033871
0.24442,0.051575,0.095906,0.049072,0.03956,0.017974,-0.039021,-0.085879,0.083894,-0.027277
0.29149,-0.086863,0.035648,-0.061854,-0.029925,0.09816,-0.016642,-0.080901,0.025021,0.034476
0.16758,-0.024564,-0.035136,0.055338,0.066216,0.015569,-0.017402,-0.1143,0.083689,-0.032933
0.24535,0.026857,0.12154,0.10026,0.10258,0.013761,-0.12693,-0.10793,0.039758,-0.085018
