shell_freq	fsc_value
0.012500	0.995028
0.025000	0.997811
0.037500	0.980292
0.050000	0.972881
0.062500	0.963359
0.075000	0.924434
0.087500	0.887421
0.100000	0.798018
0.112500	0.624758
0.125000	0.770659
0.137500	0.468111
0.150000	0.316056
0.162500	0.572411
0.175000	0.357251
0.187500	0.267317
0.200000	0.267549
0.212500	0.225822
0.225000	0.166389
0.237500	0.212015
0.250000	0.220858
0.262500	0.166130
0.275000	0.225965
0.287500	0.313300
0.300000	0.228848
0.312500	0.284930
0.325000	0.307528
0.337500	0.320710
0.350000	0.354677
0.362500	0.352430
0.375000	0.387546
0.387500	0.402665
0.400000	0.430671
0.412500	0.468563
0.425000	0.501892
0.437500	0.532454
0.450000	0.586486
0.462500	0.622004
0.475000	0.644555
0.487500	0.666023
0.500000	0.565282
